iter	Passed	Remaining
806	194221	46449
807	194369	46186
808	194531	45927
809	194704	45671
810	194873	45414
811	195077	45165
812	195264	44913
813	195458	44662
814	195646	44410
815	195852	44162
816	196019	43906
817	196196	43652
818	196379	43400
819	196600	43156
820	196819	42911
821	196992	42657
822	197158	42402
823	197328	42147
824	197507	41895
825	197711	41648
826	197928	41404
827	198123	41156
828	198296	40903
829	198475	40651
830	198646	40398
831	198828	40147
832	198991	39893
833	199158	39640
834	199324	39387
835	199499	39136
836	199674	38885
837	199863	38637
838	200023	38383
839	200191	38131
840	200382	37884
841	200603	37643
842	200774	37392
843	200974	37147
844	201176	36902
845	201359	36654
846	201521	36402
847	201690	36152
848	201854	35901
849	202011	35649
850	202179	35399
851	202343	35148
852	202523	34901
853	202726	34658
854	202926	34414
855	203090	34164
856	203245	33913
857	203410	33664
858	203572	33415
859	203731	33165
860	203899	32917
861	204096	32674
862	204276	32428
863	204443	32180
864	204619	31934
865	204783	31686
866	204949	31439
867	205127	31194
868	205299	30948
869	205502	30707
870	205697	30464
871	205938	30229
872	206221	30000
873	206525	29773
874	206817	29545
875	207158	29323
876	207419	29090
877	207690	28859
878	207985	28630
879	208273	28400
880	208542	28168
881	208864	27943
882	209117	27708
883	209360	27472
884	209606	27236
885	209891	27006
886	210196	26778
887	210438	26541
888	210686	26306
889	210943	26071
890	211208	25838
891	211471	25604
892	211690	25364
893	211873	25121
894	212039	24876
895	212264	24637
896	212435	24393
897	212670	24156
898	212910	23919
899	213128	23680
900	213345	23441
901	213527	23199
902	213725	22958
903	213899	22714
904	214066	22471
905	214256	22229
906	214437	21987
907	214604	21744
908	214774	21501
909	214935	21257
910	215100	21014
911	215284	20773
912	215439	20529
913	215602	20286
914	215783	20045
915	215965	19804
916	216128	19562
917	216300	19320
918	216464	19079
919	216635	18837
920	216789	18595
921	216963	18354
922	217136	18114
923	217339	17876
924	217513	17636
925	217671	17394
926	217829	17153
927	217997	16913
928	218169	16673
929	218341	16434
930	218494	16193
931	218718	15958
932	218938	15722
933	219157	15486
934	219461	15256
935	219627	15017
936	219788	14777
937	219954	14538
938	220107	14298
939	220327	14063
940	220543	13827
941	220717	13589
942	220891	13351
943	221055	13113
944	221213	12874
945	221388	12637
946	221556	12399
947	221789	12165
948	222001	11930
949	222178	11693
950	222369	11457
951	222598	11223
952	222796	10987
953	223021	10753
954	223210	10517
955	223446	10284
956	223667	10049
957	223883	9815
958	224084	9580
959	224267	9344
960	224450	9108
961	224695	8875
962	224894	8640
963	225087	8405
964	225264	8170
965	225422	7934
966	225592	7698
967	225755	7462
968	225910	7227
969	226096	6992
970	226276	6758
971	226465	6523
972	226634	6288
973	226814	6054
974	226997	5820
975	227200	5586
976	227382	5352
977	227571	5119
978	227773	4885
979	227969	4652
980	228146	4418
981	228317	4185
982	228475	3951
983	228650	3717
984	228836	3484
985	229008	3251
986	229196	3018
987	229480	2787
988	229669	2554
989	229820	2321
990	229970	2088
991	230139	1855
992	230303	1623
993	230493	1391
994	230688	1159
995	230862	927
996	231028	695
997	231234	463
998	231446	231
999	231746	0
